Site,Ad Fontes url,Reliability,Bias
The New Yorker Radio Hour,https://adfontesmedia.com/new-yorker-radio-hour/,44.55,-11.65
The News & Why It Matters,https://adfontesmedia.com/news-why-it-matters-bias-and-reliability/,20.14,22.29
The News with Shepard Smith,https://adfontesmedia.com/news-with-shepard-smith-bias-and-reliability/,44.28,-9.3
The Next Revolution with Steve Hilton,https://adfontesmedia.com/next-revolution-with-steve-hilton-bias-and-reliability/,23.39,25.86
The NPR Politics Podcast,https://adfontesmedia.com/the-npr-politics-podcast-bias-and-reliability/,42.67,-6.31
The Oregonian,https://adfontesmedia.com/oregonian-bias-and-reliability/,46.27,-3.82
The Patriot Post,https://adfontesmedia.com/patriot-post-bias-and-reliability/,18.87,19.6
The People’s Voice,https://adfontesmedia.com/newspunch-bias-and-reliability/,14.27,24.69
The PoliticsGirl Podcast,https://adfontesmedia.com/politicsgirl-podcast-bias-and-reliability/,23.44,-18.87
The President’s Inbox,https://adfontesmedia.com/the-presidents-inbox-bias-and-reliability/,44.44,-1.67
The Problem With Jon Stewart,https://adfontesmedia.com/problem-jon-stewart-bias-and-reliability/,28.61,-16.33
The Progressive,https://adfontesmedia.com/progressive-bias-and-reliability/,34.79,-18.16
The Rachel Maddow Show,https://adfontesmedia.com/rachel-maddow-show-bias-and-reliability/,36.71,-17.67
The Real Story,https://adfontesmedia.com/the-real-story-bias-and-reliability/,46.89,-1.44
The Realignment,https://adfontesmedia.com/the-realignment-bias-and-reliability/,39.89,1.33
The Reason Roundtable,https://adfontesmedia.com/reason-roundtable-bias-and-reliability/,36.87,6.21
The Record with Greta Van Susteren,https://adfontesmedia.com/the-record-with-greta-van-susteren-bias-and-reliability/,32.6,14.67
The ReidOut,https://adfontesmedia.com/reidout-bias-and-reliability/,23.73,-20.7
The Remnant,https://adfontesmedia.com/remnant-bias-and-reliability/,38.67,6.22
The Right Scoop,https://adfontesmedia.com/the-right-scoop-bias-and-reliability/,21.06,22.53
The Right View with Lara Trump,https://adfontesmedia.com/the-right-view-with-lara-trump-bias-and-reliability/,25.89,18.87
The Root,https://adfontesmedia.com/root-bias-and-reliability/,26.43,-18.51
The Rubin Report,https://adfontesmedia.com/rubin-report-bias-and-reliability/,22.24,22.97
The Sean Hannity Show,https://adfontesmedia.com/sean-hannity-show-bias-and-reliability/,14.52,24.52
The Sharyl Attkisson Podcast,https://adfontesmedia.com/sharyl-attkisson-podcast-bias-and-reliability/,38.11,6.28
The Situation Room,https://adfontesmedia.com/situation-room-bias-and-reliability/,42.04,-11.59
The Skepticrat,https://adfontesmedia.com/the-skepticrat-bias-and-reliability/,15.09,-26.2
The Skimm,https://adfontesmedia.com/skimm-bias-and-reliability/,42.55,-6.63
The Smerconish Podcast,https://adfontesmedia.com/smerconish-podcast-bias-and-reliability/,38.83,-3.76
The Story,https://adfontesmedia.com/stories-of-our-times-bias-and-reliability/,41.22,-1.89
The Story with Martha MacCallum,https://adfontesmedia.com/the-story-with-martha-maccallum-bias-and-reliability/,35.33,12.83
The Stranger,https://adfontesmedia.com/the-stranger-bias-and-reliability/,36.49,-18.39
The Stream,https://adfontesmedia.com/the-stream-bias-and-reliability/,19.41,22.92
The Stream TV Show,https://adfontesmedia.com/stream-bias-and-reliability/,29.17,-22.47
The Sunday Show with Jonathan Capehart,https://adfontesmedia.com/sunday-show-with-jonathan-capehart-bias-and-reliability/,33.58,-15.33
The Takeout,https://adfontesmedia.com/takeout-bias-and-reliability/,45.42,-2.42
The Trace,https://adfontesmedia.com/the-trace-bias-and-reliability/,45.75,-6.64
The Trey Gowdy Podcast,https://adfontesmedia.com/trey-gowdy-podcast-bias-and-reliability/,41.58,5.38
The Trish Regan Show,https://adfontesmedia.com/trish-regan-show-bias-and-reliability/,16.99,23.52
The Verge,https://adfontesmedia.com/the-verge-bias-and-reliability/,39.43,-4.75
The View,https://adfontesmedia.com/the-view-bias-and-reliability/,25.86,-20.12
The Village Voice,https://adfontesmedia.com/village-voice-bias-and-reliability/,43.02,-7.91
The Water Cooler with David Brody,https://adfontesmedia.com/water-cooler-with-david-brody-bias-and-reliability/,24.59,21.07
The Weather Channel,https://adfontesmedia.com/weather-channel-bias-and-reliability/,46.38,-1.9
The Weeds,https://adfontesmedia.com/weeds-bias-and-reliability/,41.11,-8.33
The Week,https://adfontesmedia.com/week-bias-and-reliability/,35.26,-11.31
The Week on the Hill,https://adfontesmedia.com/week-on-the-hill-bias-and-reliability/,43.78,-0.33
The World According to Jesse,https://adfontesmedia.com/world-according-to-jesse-bias-and-reliability/,35,-13.78
The World and Everything In It,https://adfontesmedia.com/world-and-everything-in-it-bias-and-reliability/,39.13,11.45
The Wrap,https://adfontesmedia.com/wrap-bias-and-reliability/,37.42,-5.98
The Young Turks,https://adfontesmedia.com/the-young-turks-bias-and-reliability/,26.23,-24.99
TheGrio,https://adfontesmedia.com/thegrio-bias-reliability/,39.55,-10.82
This American Life,https://adfontesmedia.com/this-american-life-bias-and-reliability/,40.2,-9.17
Tim Pool Daily Show,https://adfontesmedia.com/tim-pool-daily-show-bias-and-reliability/,13.07,22.44
Time Magazine,https://adfontesmedia.com/time-bias-and-reliability/,41.12,-7.42
TIME’s The Brief,https://adfontesmedia.com/times-the-brief-bias-and-reliability/,42.78,-5.61
The New York Times,https://adfontesmedia.com/new-york-times-bias-and-reliability/,41.95,-7.72
The New Yorker,https://adfontesmedia.com/new-yorker-bias-and-reliability/,40.93,-12.32
The New Yorker Radio Hour,https://adfontesmedia.com/new-yorker-radio-hour/,44.55,-11.65
The News & Why It Matters,https://adfontesmedia.com/news-why-it-matters-bias-and-reliability/,20.14,22.29
The News with Shepard Smith,https://adfontesmedia.com/news-with-shepard-smith-bias-and-reliability/,44.28,-9.3
The Next Revolution with Steve Hilton,https://adfontesmedia.com/next-revolution-with-steve-hilton-bias-and-reliability/,23.39,25.86
The NPR Politics Podcast,https://adfontesmedia.com/the-npr-politics-podcast-bias-and-reliability/,42.67,-6.31
The Oregonian,https://adfontesmedia.com/oregonian-bias-and-reliability/,46.27,-3.82
The Patriot Post,https://adfontesmedia.com/patriot-post-bias-and-reliability/,18.87,19.6
The People’s Voice,https://adfontesmedia.com/newspunch-bias-and-reliability/,14.27,24.69
The PoliticsGirl Podcast,https://adfontesmedia.com/politicsgirl-podcast-bias-and-reliability/,23.44,-18.87
The President’s Inbox,https://adfontesmedia.com/the-presidents-inbox-bias-and-reliability/,44.44,-1.67
The Problem With Jon Stewart,https://adfontesmedia.com/problem-jon-stewart-bias-and-reliability/,28.61,-16.33
The Progressive,https://adfontesmedia.com/progressive-bias-and-reliability/,34.79,-18.16
The Rachel Maddow Show,https://adfontesmedia.com/rachel-maddow-show-bias-and-reliability/,36.71,-17.67
The Real Story,https://adfontesmedia.com/the-real-story-bias-and-reliability/,46.89,-1.44
The Realignment,https://adfontesmedia.com/the-realignment-bias-and-reliability/,39.89,1.33
The Reason Roundtable,https://adfontesmedia.com/reason-roundtable-bias-and-reliability/,36.87,6.21
The Record with Greta Van Susteren,https://adfontesmedia.com/the-record-with-greta-van-susteren-bias-and-reliability/,32.6,14.67
The ReidOut,https://adfontesmedia.com/reidout-bias-and-reliability/,23.73,-20.7
The Remnant,https://adfontesmedia.com/remnant-bias-and-reliability/,38.67,6.22
The Right Scoop,https://adfontesmedia.com/the-right-scoop-bias-and-reliability/,21.35,22.42
The Right View with Lara Trump,https://adfontesmedia.com/the-right-view-with-lara-trump-bias-and-reliability/,25.89,18.87
The Root,https://adfontesmedia.com/root-bias-and-reliability/,26.43,-18.51
The Rubin Report,https://adfontesmedia.com/rubin-report-bias-and-reliability/,22.24,22.97
The Sean Hannity Show,https://adfontesmedia.com/sean-hannity-show-bias-and-reliability/,14.52,24.52
The Sharyl Attkisson Podcast,https://adfontesmedia.com/sharyl-attkisson-podcast-bias-and-reliability/,38.11,6.28
The Situation Room,https://adfontesmedia.com/situation-room-bias-and-reliability/,42.04,-11.59
The Skepticrat,https://adfontesmedia.com/the-skepticrat-bias-and-reliability/,15.09,-26.2
The Skimm,https://adfontesmedia.com/skimm-bias-and-reliability/,42.55,-6.63
The Smerconish Podcast,https://adfontesmedia.com/smerconish-podcast-bias-and-reliability/,38.83,-3.76
The Story,https://adfontesmedia.com/stories-of-our-times-bias-and-reliability/,41.22,-1.89
The Story with Martha MacCallum,https://adfontesmedia.com/the-story-with-martha-maccallum-bias-and-reliability/,35.33,12.83
The Stranger,https://adfontesmedia.com/the-stranger-bias-and-reliability/,36.49,-18.39
The Stream,https://adfontesmedia.com/the-stream-bias-and-reliability/,19.41,22.92
The Stream TV Show,https://adfontesmedia.com/stream-bias-and-reliability/,29.17,-22.47
The Sunday Show with Jonathan Capehart,https://adfontesmedia.com/sunday-show-with-jonathan-capehart-bias-and-reliability/,33.58,-15.33
The Takeout,https://adfontesmedia.com/takeout-bias-and-reliability/,45.42,-2.42
The Trace,https://adfontesmedia.com/the-trace-bias-and-reliability/,45.75,-6.64
The Trey Gowdy Podcast,https://adfontesmedia.com/trey-gowdy-podcast-bias-and-reliability/,41.58,5.38
The Trish Regan Show,https://adfontesmedia.com/trish-regan-show-bias-and-reliability/,16.99,23.52
The Verge,https://adfontesmedia.com/the-verge-bias-and-reliability/,39.43,-4.75
The View,https://adfontesmedia.com/the-view-bias-and-reliability/,25.86,-20.12
The Village Voice,https://adfontesmedia.com/village-voice-bias-and-reliability/,43.02,-7.91
The Water Cooler with David Brody,https://adfontesmedia.com/water-cooler-with-david-brody-bias-and-reliability/,24.59,21.07
The Weather Channel,https://adfontesmedia.com/weather-channel-bias-and-reliability/,46.38,-1.9
The Weeds,https://adfontesmedia.com/weeds-bias-and-reliability/,41.11,-8.33
The Week,https://adfontesmedia.com/week-bias-and-reliability/,35.26,-11.31
The Week on the Hill,https://adfontesmedia.com/week-on-the-hill-bias-and-reliability/,43.78,-0.33
The World According to Jesse,https://adfontesmedia.com/world-according-to-jesse-bias-and-reliability/,35,-13.78
The World and Everything In It,https://adfontesmedia.com/world-and-everything-in-it-bias-and-reliability/,39.13,11.45
The Wrap,https://adfontesmedia.com/wrap-bias-and-reliability/,37.42,-5.98
The Young Turks,https://adfontesmedia.com/the-young-turks-bias-and-reliability/,26.23,-24.99
TheGrio,https://adfontesmedia.com/thegrio-bias-reliability/,39.55,-10.82
This American Life,https://adfontesmedia.com/this-american-life-bias-and-reliability/,40.2,-9.17
Tim Pool Daily Show,https://adfontesmedia.com/tim-pool-daily-show-bias-and-reliability/,13.07,22.44
Time Magazine,https://adfontesmedia.com/time-bias-and-reliability/,41.12,-7.42
TIME’s The Brief,https://adfontesmedia.com/times-the-brief-bias-and-reliability/,42.78,-5.61
Tipping Point,https://adfontesmedia.com/tipping-point-bias-and-reliability/,14.9,26.94
TMZ,https://adfontesmedia.com/tmz-bias-and-reliability/,35.35,-4.89
Today in Focus,https://adfontesmedia.com/today-in-focus-bias-and-reliability/,41.78,-3.67
Today with Hoda & Jenna,https://adfontesmedia.com/today-with-hoda-and-jenna-bias-and-reliability/,33.56,-0.56
"Today, Explained",https://adfontesmedia.com/today-explained-bias-and-reliability/,42.06,-13.42
Townhall,https://adfontesmedia.com/townhall-bias-and-reliability/,24.94,19.84
Trending Politics,https://adfontesmedia.com/trending-politics-bias-and-reliability/,23.05,17.45
Trib Live,https://adfontesmedia.com/trib-live-bias-and-reliability/,47.01,-1.04
True Pundit,https://adfontesmedia.com/true-pundit-bias-and-reliability/,37.42,8.05
Truth Over News,https://adfontesmedia.com/truth-over-news-bias-and-reliability/,28.33,17.42
Truthout,https://adfontesmedia.com/truthout-bias-and-reliability/,30.54,-19.43
Tucker Carlson Today,https://adfontesmedia.com/tucker-carlson-today-bias-and-reliability/,23.28,14.67
Tucker Carlson Tonight,https://adfontesmedia.com/tucker-carlson-tonight-bias-reliability/,19.07,23.89
Tucker on X,https://adfontesmedia.com/tucker-on-x-bias-reliability/,11.48,21.68
Turley Talks,https://adfontesmedia.com/turley-talks-bias-and-reliability/,22.07,22.74
Turning Point USA,https://adfontesmedia.com/turning-point-usa-bias-and-reliability/,20.6,16.97
Twitchy,https://adfontesmedia.com/twitchy-bias-and-reliability/,17.71,21.04
TYT: The Conversation,https://adfontesmedia.com/tyt-the-conversation-bias-and-reliability/,21.36,-24.4
UN News,https://adfontesmedia.com/un-news-bias-and-reliability/,44.26,-4.68
UNDISTRACTED with Brittany Packnett Cunningham,https://adfontesmedia.com/undistracted-with-brittany-packnett-cunningham-bias-and-reliability/,32.11,-15.67
Unfiltered with Dan Bongino,https://adfontesmedia.com/unfiltered-with-dan-bongino-bias-and-reliability/,18.89,22.11
Unlocking Us with Brene Brown,https://adfontesmedia.com/unlocking-us-with-brene-brown/,30.44,-21.8
Up First,https://adfontesmedia.com/up-first-bias-and-reliability/,44.19,-9.51
UpFront,https://adfontesmedia.com/upfront-bias-and-reliability/,39.47,-13.21
UPI,https://adfontesmedia.com/upi-bias-and-reliability/,45.5,-1.18
UPROXX,https://adfontesmedia.com/uproxx-bias-and-reliability/,34.69,-14.87
Upworthy,https://adfontesmedia.com/upworthy-bias-and-reliability/,40.14,-3.77
US News and World Report,https://adfontesmedia.com/u-s-news-and-world-report-bias-reliability/,43.89,-2.18
US Weekly,https://adfontesmedia.com/us-weekly-bias-and-reliability/,36.72,0.04
USA Today,https://adfontesmedia.com/usa-today-bias-and-reliability/,41.22,-4.19
Useful Idiots,https://adfontesmedia.com/useful-idiots-bias-and-reliability/,13.02,-23.13
Vanity Fair,https://adfontesmedia.com/vanity-fair-bias-and-reliability/,33.19,-13.87
Variety,https://adfontesmedia.com/variety-bias-and-reliability/,41.29,-3.85
Verdict with Ted Cruz,https://adfontesmedia.com/verdict-with-ted-cruz-bias-and-reliability/,27,18.87
Veterans of Foreign Wars VFW,https://adfontesmedia.com/vfw-bias-and-reliability/,40.88,-0.1
Vice,https://adfontesmedia.com/vice-bias-and-reliability/,38.96,-9.39
Vogue,https://adfontesmedia.com/vogue-bias-and-reliability/,39.13,-10.91
Voice of America,https://adfontesmedia.com/voice-america-bias-and-reliability/,46.29,-3.24
Vox,https://adfontesmedia.com/vox-bias-and-reliability/,39.68,-10.07
VT Foreign Policy,https://adfontesmedia.com/vt-foreign-policy-bias-and-reliability/,9.04,10.95
Vulture,https://adfontesmedia.com/vulture-bias-and-reliability/,38.72,-7.96
Wait Wait … Don’t Tell Me,https://adfontesmedia.com/wait-wait-dont-tell-me-bias-and-reliability/,34.67,-4.08
Wake Up America,https://adfontesmedia.com/wake-up-america-bias-and-reliability/,17.49,21.33
Wall Street Journal,https://adfontesmedia.com/wall-street-journal-bias-and-reliability/,43.37,4.24
War on the Rocks,https://adfontesmedia.com/war-on-the-rocks-bias-and-reliability/,40.02,1.5
Washington Blade,https://adfontesmedia.com/washington-blade-bias-and-reliability/,42.71,-7.49
Washington Examiner,https://adfontesmedia.com/washington-examiner-bias-and-reliability/,34.12,11.69
Washington Free Beacon,https://adfontesmedia.com/washington-free-beacon-bias-and-reliability/,24.15,14.48
Washington Journal,https://adfontesmedia.com/washington-journal-bias-and-reliability/,35.44,-3.44
Washington Monthly,https://adfontesmedia.com/washington-monthly-bias-and-reliability/,32.05,-14.36
Washington Post,https://adfontesmedia.com/washington-post-bias-and-reliability/,39.59,-6.76
Washington Times,https://adfontesmedia.com/washington-times-bias-and-reliability/,36.07,11.83
Washington Week,https://adfontesmedia.com/washington-week-bias-and-reliability/,41.56,-6.81
Washington’s Top News,https://adfontesmedia.com/washingtons-top-news-bias-and-reliability/,46.27,-0.26
Washingtonian,https://adfontesmedia.com/washingtonian-bias-and-reliability/,42.98,-2.62
Watters’ World,https://adfontesmedia.com/watters-world-bias-and-reliability/,29.33,19
Watts Up With That?,https://adfontesmedia.com/watts-up-with-that-bias-and-reliability/,25.52,13.76
Weasel Zippers,https://adfontesmedia.com/weasel-zippers-bias-and-reliability/,25.38,13.42
Western Journal,https://adfontesmedia.com/western-journal-bias-reliability/,23.09,19.45
What A Day,https://adfontesmedia.com/what-a-day-bias-and-reliability/,36.93,-16.11
What Next,https://adfontesmedia.com/what-next-bias-and-reliability/,42.67,-7.21
What the Hell is Going On?,https://adfontesmedia.com/what-the-hell-is-going-on-bias-and-reliability/,34.56,11.56
What’s News,https://adfontesmedia.com/whats-news-bias-and-reliability/,46.27,0.27
White Flag with Joe Walsh,https://adfontesmedia.com/white-flag-with-joe-walsh-bias-and-reliability/,34.11,-11.11
Who What Why,https://adfontesmedia.com/who-what-why-bias-and-reliability/,36.05,-12.94
Why Is This Happening? with Chris Hayes,https://adfontesmedia.com/why-is-this-happening-with-chris-hayes-bias-and-reliability/,40.83,-13.42
Why It Matters,https://adfontesmedia.com/why-it-matters-bias-and-reliability/,47.78,-1
WIRED,https://adfontesmedia.com/wired-bias-and-reliability/,36.77,-7.24
Witness,https://adfontesmedia.com/witness-bias-and-reliability/,51.93,-13.96
WND,https://adfontesmedia.com/wnd-bias-and-reliability/,15.54,21.14
Wonkette,https://adfontesmedia.com/wonkette-bias-and-reliability/,17.4,-26.18
World News Roundup,https://adfontesmedia.com/world-news-roundup-bias-and-reliability/,46.42,-1.5
World Socialist Web Site,https://adfontesmedia.com/world-socialist-web-site-bias-and-reliability/,30.26,-25.8
WorldTruth.TV,https://adfontesmedia.com/world-truth-tv-bias-and-reliability/,8.52,25.64
X22 Report,https://adfontesmedia.com/x22-report-bias-and-reliability/,6.59,34.48
Yahoo.com,https://adfontesmedia.com/yahoo-com-bias-and-reliability/,41.12,-5.75
Yes! Magazine,https://adfontesmedia.com/yes-magazine-bias-and-reliability/,39.57,-14.64
You and Me Both with Hillary Clinton,https://adfontesmedia.com/you-and-me-both-with-hillary-clinton-bias-and-reliability/,31.11,-13.11
Your Money Briefing,https://adfontesmedia.com/your-money-briefing-bias-and-reliability/,44.87,-0.2
Your World with Neil Cavuto,https://adfontesmedia.com/your-world-with-neil-cavuto-bias-and-reliability/,36.58,13.53
ZeroHedge,https://adfontesmedia.com/zerohedge-bias-and-reliability/,20.78,16.08
